route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"106",1549_PO,1549_1349,"Łagiewniki",,1,PO_106-01_13,947247,0,0
"106",1548_PO,1548_1379,"Skotniki Szkoła",,0,PO_106-01_14,945616,0,0
"106",1549_PO,1549_1353,"Skotniki Szkoła",,0,PO_106-01_14,947246,0,0
"106",1548_PO,1548_1383,"Łagiewniki",,1,PO_106-01_15,945617,0,0
"106",1549_PO,1549_1357,"Łagiewniki",,1,PO_106-01_15,947247,0,0
"106",1548_PO,1548_1387,"Skotniki Szkoła",,0,PO_106-01_16,945616,0,0
"106",1549_PO,1549_1361,"Skotniki Szkoła",,0,PO_106-01_16,947246,0,0
"106",1548_PO,1548_1391,"Łagiewniki",,1,PO_106-01_17,945617,0,0
"106",1549_PO,1549_1364,"Łagiewniki",,1,PO_106-01_17,947247,0,0
"106",1548_PO,1548_1395,"Skotniki Szkoła",,0,PO_106-01_18,945616,0,0
"106",1549_PO,1549_1368,"Skotniki Szkoła",,0,PO_106-01_18,947246,0,0
"106",1548_PO,1548_1399,"Łagiewniki",,1,PO_106-01_19,945617,0,0
"106",1549_PO,1549_1372,"Łagiewniki",,1,PO_106-01_19,947247,0,0
"106",1548_PO,1548_1402,"Skotniki Szkoła",,0,PO_106-01_20,945616,0,0
"106",1549_PO,1549_1376,"Skotniki Szkoła",,0,PO_106-01_20,947246,0,0
"106",1548_PO,1548_1405,"Łagiewniki",,1,PO_106-01_21,945617,0,0
"106",1549_PO,1549_1380,"Łagiewniki",,1,PO_106-01_21,947247,0,0
"106",1548_PO,1548_1409,"Skotniki Szkoła",,0,PO_106-01_22,945616,0,0
"106",1549_PO,1549_1384,"Skotniki Szkoła",,0,PO_106-01_22,947246,0,0
"106",1548_PO,1548_1413,"Łagiewniki",,1,PO_106-01_23,945617,0,0
"106",1549_PO,1549_1389,"Łagiewniki",,1,PO_106-01_23,947247,0,0
"106",1548_PO,1548_1417,"Skotniki Szkoła",,0,PO_106-01_24,945616,0,0
"106",1549_PO,1549_1393,"Skotniki Szkoła",,0,PO_106-01_24,947246,0,0
"106",1548_PO,1548_1421,"Łagiewniki",,1,PO_106-01_25,945617,0,0
"106",1549_PO,1549_1397,"Łagiewniki",,1,PO_106-01_25,947247,0,0
"106",1548_PO,1548_1425,"Skotniki Szkoła",,0,PO_106-01_26,945616,0,0
"106",1549_PO,1549_1401,"Skotniki Szkoła",,0,PO_106-01_26,947246,0,0
"106",1548_PO,1548_1429,"Łagiewniki",,1,PO_106-01_27,945617,0,0
"106",1549_PO,1549_1405,"Łagiewniki",,1,PO_106-01_27,947247,0,0
"106",1548_PO,1548_1433,"Skotniki Szkoła",,0,PO_106-01_28,945616,0,0
"106",1549_PO,1549_1409,"Skotniki Szkoła",,0,PO_106-01_28,947246,0,0
